"u_account","u_account.name","u_account.u_number","acv","acv_usd","annual_list_value","annual_list_value_usd","contract","notes","product_price","quantity","sales_price","product_price.product.u_family_3","product_price.product.u_family_2","number"
"McGraw Hill LLC","McGraw Hill LLC","ACCT0027079","89,019","89,019","0","0","CON0059538","","Now Platform® App Engine for IT Service Management - Module (USD)","1","7,418.25","App Engine ITSM","Now Platform App Engine","CLI0194144"
"Maxim Healthcare Services Inc","Maxim Healthcare Services Inc","ACCT0010911","82,200","82,200","180,000","180,000","CON0031268-ADDL2","","App Engine - Fulfiller   (USD)","100","68.5","App Engine Fulfiller","Now Platform App Engine","CLI0178373"
"Mattel Inc","Mattel Inc","ACCT0003580","27,000","27,000","27,000","27,000","06514TN","","App Engine - Fulfiller   (USD)","15","150","App Engine Fulfiller","Now Platform App Engine","CLI0203245"
"MasterControl Inc","MasterControl Inc","ACCT0024181","18,240","18,240","18,240","18,240","19713MY","","Now Platform App Engine Starter + - Platform User (USD)","95","16","App Engine Starter","App Engine - Legacy","CLI0176556"
"Massachusetts Institute of Technology","Massachusetts Institute of Technology","ACCT0002491","16,848","16,848","0","0","22413KM","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,404","App Engine Professional","App Engine","CLI0154789"
"Massachusetts Institute of Technology","Massachusetts Institute of Technology","ACCT0002491","4,492.8","4,492.8","4,320","4,320","22413KM","","I2 Now Platform® App Engine - Fulfiller User (USD)","10","37.44","App Engine Professional","App Engine","CLI0154788"
"Martin Marietta Materials Inc","Martin Marietta Materials Inc","ACCT0003065","40,500","40,500","162,000","162,000","CON0077189","","Now Platform App Engine Starter - Unrestricted User (USD)","4,500","0.75","App Engine Starter","App Engine - Legacy","CLI0123493"
"Marken Ltd","Marken Ltd","ACCT0124336","81,600","113,113.56","136,800","180,000","CON0898684*itprod","","App Engine - Fulfiller   (GBP)","100","68","App Engine Fulfiller","Now Platform App Engine","CLI0165547"
"Maritz Inc","Maritz Inc","ACCT0001353","5,340","5,340","9,000","9,000","33911GC","","App Engine - Fulfiller   (USD)","5","89","App Engine Fulfiller","Now Platform App Engine","CLI0200785"
"Maritime and Port Authority of Singapore","Maritime and Port Authority of Singapore","ACCT0141523","81,816","81,816","168,000","168,000","CON1141072","","App Engine - Unrestricted User (USD)","700","9.74","App Engine Unrestricted User","Now Platform App Engine","CLI0201025"
"Marisa Lojas SA","Marisa Lojas SA","ACCT0032206","83,220","15,709.06","155,700","30,000","03811TM-MARISA-ADDL","","Now Platform App Engine Standard - Platform User (BRL)","100","69.35","App Engine Standard","App Engine - Legacy","CLI0122070"
"Marin IT AS","Marin IT AS","ACCT0106429","800.4","947.03","747.6","840","CON0670905","","Now Platform App Engine Starter - Platform User (EUR)","10","6.67","App Engine Starter","App Engine - Legacy","CLI0163061"
"Marathon Petroleum Corp","Marathon Petroleum Corp","ACCT0005162","5,100","5,100","5,100","5,100","CON1103172","","Now Platform App Engine Standard - Platform User (USD)","17","25","App Engine Standard","App Engine - Legacy","CLI0110863"
"Maples Service Company Ltd","Maples Service Company Ltd","ACCT0080814","17,640","17,640","25,200","25,200","CON0655858","","App Engine - Fulfiller   (USD)","14","105","App Engine Fulfiller","Now Platform App Engine","CLI0210747"
"ManTech - JPL","ManTech - JPL","ACCT0146091","114,367.68","114,367.68","0","0","CON1193096-JPL","","Now Platform® App Engine for IT Service Management - Module (USD)","1","9,530.64","App Engine ITSM","Now Platform App Engine","CLI0171054"
"ManpowerGroup Solutions Oy - MSP","ManpowerGroup Solutions Oy - MSP","ACCT0009582","5,778","6,798.39","24,030","18,000","BV-34914SGT","","App Engine - Fulfiller   (EUR)","10","48.15","App Engine Fulfiller","Now Platform App Engine","CLI0183047"
"Mainbit S.A. de C.V.","Mainbit S.A. de C.V.","ACCT0027707","13,608","13,608","22,500","22,500","CON0558180","","Now Platform App Engine Standard - Platform User (USD)","50","22.68","App Engine Standard","App Engine - Legacy","CLI0117149"
"Main Line Hospitals Inc","Main Line Hospitals Inc","ACCT0002784","24,000","24,000","144,000","144,000","CON0609212","","App Engine - Fulfiller   (USD)","80","25","App Engine Fulfiller","Now Platform App Engine","CLI0151799"
"Magellan Health Inc","Magellan Health Inc","ACCT0002440","60,750","60,750","135,000","135,000","CON0091247","","App Engine - Fulfiller   (USD)","75","67.5","App Engine Fulfiller","Now Platform App Engine","CLI0159819"
"Maersk Drilling Services AS","Maersk Drilling Services AS","ACCT0014361","101,142","101,142","810,000","810,000","BV-23213JB","","App Engine - Fulfiller   (USD)","450","18.73","App Engine Fulfiller","Now Platform App Engine","CLI0174781"
"MA Mortenson Co Inc","MA Mortenson Co Inc","ACCT0001509","31,500","31,500","126,000","126,000","29911MM","","App Engine - Fulfiller   (USD)","70","37.5","App Engine Fulfiller","Now Platform App Engine","CLI0154047"
"M12 Solutions Ltd","M12 Solutions Ltd","ACCT0157024","6,703.2","9,283.4","0","0","CON1369666","","Now Platform® App Engine for Customer Service Management - Module (GBP)","1","558.6","App Engine CSM","Now Platform App Engine","CLI0213274"
"LVMH Watch & Jewelry Japan KK","LVMH Watch & Jewelry Japan KK","ACCT0134410","9,172.8","11,067.9","48,060","54,000","BV-35312EO-WJ","","App Engine - Fulfiller   (EUR)","30","25.48","App Engine Fulfiller","Now Platform App Engine","CLI0197431"
"Lutech SpA","Lutech SpA","ACCT0026158","6,728.4","8,041.11","11,214","12,600","CON0602499","","App Engine - Fulfiller   (EUR)","7","80.1","App Engine Fulfiller","Now Platform App Engine","CLI0209009"
"Lunds University","Lunds University","ACCT0022739","5,400","6,421.14","5,976","8,400","BV-25214SYMP","","Now Platform App Engine Starter - Platform User (EUR)","100","4.5","App Engine Starter","App Engine - Legacy","CLI0118558"
"Loyola Marymount University Inc","Loyola Marymount University Inc","ACCT0007515","0","0","0","0","CON1059789","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","8","0","App Engine Professional","App Engine","CLI0213242"
"Loyola Marymount University Inc","Loyola Marymount University Inc","ACCT0007515","7,188.48","7,188.48","7,188.48","7,188.48","CON1059789","","I2 Now Platform® App Engine - Fulfiller User (USD)","16","37.44","App Engine Professional","App Engine","CLI0213241"
"LoyaltyOne Co","LoyaltyOne Co","ACCT0017602","0","0","0","0","CON0697423","","Now Platform App Engine Starter + - Unrestricted User (USD)","0","0","App Engine Starter","App Engine - Legacy","CLI0159987"
"LoyaltyOne Co","LoyaltyOne Co","ACCT0017602","135,432","135,432","264,000","264,000","CON0697423","","App Engine - Unrestricted User (USD)","1,100","10.26","App Engine Unrestricted User","Now Platform App Engine","CLI0177723"
"Lower Hudson Regional Information Center","Lower Hudson Regional Information Center","ACCT0025417","20,861.28","20,861.28","0","0","CON1146167 ","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,738.44","App Engine Professional","App Engine","CLI0149823"
"London Stock Exchange Group Plc","London Stock Exchange Group Plc","ACCT0014520","94,800","130,327.95","91,200","120,000","CON0968152","","Now Platform App Engine Professional - Platform User (GBP)","100","79","App Engine Professional","App Engine - Legacy","CLI0116898"
"London & Southeastern Railway Ltd","London & Southeastern Railway Ltd","ACCT0141689","19,545","27,024.79","28,500","37,500","CON1133389","","Now Platform App Engine Standard - Platform User (GBP)","125","13.03","App Engine Standard","App Engine - Legacy","CLI0150572"
"Lockheed Martin EBS","Lockheed Martin EBS","ACCT0089836","135,000","135,000","450,000","450,000","CON0015055-Security","","App Engine - Fulfiller   (USD)","250","45","App Engine Fulfiller","Now Platform App Engine","CLI0170204"
"Loblaws Inc","Loblaws Inc","ACCT0015346","403,200","403,200","5,040,000","5,040,000","CON0064994","","App Engine - Fulfiller   (USD)","2,800","12","App Engine Fulfiller","Now Platform App Engine","CLI0182813"
"Lloyds Banking Group","Lloyds Banking Group","ACCT0000346","336,000","455,308.95","18,240,000","24,000,000","CON0571368","","App Engine - Unrestricted User (GBP)","100,000","0.28","App Engine Unrestricted User","Now Platform App Engine","CLI0171640"
"LKQ Corp","LKQ Corp","ACCT0002044","7,380","7,380","12,300","12,300","26113RT","","Now Platform App Engine Standard - Platform User (USD)","41","15","App Engine Standard","App Engine - Legacy","CLI0110415"
"Littler Mendelson PC","Littler Mendelson PC","ACCT0008327","67,392","67,392","0","0","12812AC","","Now Platform® App Engine for IT Service Management - Module (USD)","1","5,616","App Engine ITSM","Now Platform App Engine","CLI0203205"
"Lithia Motors Inc","Lithia Motors Inc","ACCT0001655","27,000","27,000","90,000","90,000","CON0600576","","App Engine - Fulfiller   (USD)","50","45","App Engine Fulfiller","Now Platform App Engine","CLI0193929"
"Liquor Control Board Of Ontario","Liquor Control Board Of Ontario","ACCT0015109","112,682.52","90,770.96","331,251.84","252,864","15414MSI","","Now Platform App Engine Starter + - Platform User (CAD)","1,317","7.13","App Engine Starter","App Engine - Legacy","CLI0120336"
"Liquor Control Board Of Ontario","Liquor Control Board Of Ontario","ACCT0015109","27,249.12","21,950.42","65,583.84","50,064","15414MSI","","Now Platform App Engine Starter - Platform User (CAD)","596","3.81","App Engine Starter","App Engine - Legacy","CLI0120334"
"Linklaters LLP","Linklaters LLP","ACCT0007191","261,300","361,743.33","1,423,500","1,950,000","CON0657715-36MTHS","","Now Platform App Engine Standard - Platform User (GBP)","6,500","3.35","App Engine Standard","App Engine - Legacy","CLI0105138"
"Lincoln Financial Group","Lincoln Financial Group","ACCT0009752","86,850","86,850","347,400","347,400","24514TF","","App Engine - Fulfiller   (USD)","193","37.5","App Engine Fulfiller","Now Platform App Engine","CLI0168531"
"LightStream Managed Services LLC","LightStream Managed Services LLC","ACCT0038816","73,062","73,062","73,800","73,800","CON0054380","","App Engine - Fulfiller   (USD)","41","148.5","App Engine Fulfiller","Now Platform App Engine","CLI0211154"
"Lighthouse eDiscovery Inc","Lighthouse eDiscovery Inc","ACCT0038838","50,400","50,400","144,000","144,000","CON0081113","","App Engine - Unrestricted User (USD)","600","7","App Engine Unrestricted User","Now Platform App Engine","CLI0152330"
"Life Without Barriers","Life Without Barriers","ACCT0059341","198,576","151,208.3","468,000","360,000","CON0561643","","App Engine - Fulfiller   (AUD)","200","82.74","App Engine Fulfiller","Now Platform App Engine","CLI0192956"
"Library Of Congress","Library Of Congress","ACCT0007328","192,000","192,000","960,000","960,000","CON0071287","","App Engine - Unrestricted User (USD)","4,000","4","App Engine Unrestricted User","Now Platform App Engine","CLI0170386"
"Library Of Congress","Library Of Congress","ACCT0007328","344,808","344,808","540,000","540,000","CON0071287-PROD","","App Engine - Fulfiller   (USD)","300","95.78","App Engine Fulfiller","Now Platform App Engine","CLI0170532"
"Liberty Hardware Mfg Corp","Liberty Hardware Mfg Corp","ACCT0067961","6,842.16","6,842.16","0","0","CON0592162","","Now Platform® App Engine for IT Service Management - Module (USD)","1","570.18","App Engine ITSM","Now Platform App Engine","CLI0192683"
"Liberty Hardware Mfg Corp","Liberty Hardware Mfg Corp","ACCT0067961","8,100","8,100","45,000","45,000","CON0592162","","App Engine - Fulfiller   (USD)","25","27","App Engine Fulfiller","Now Platform App Engine","CLI0192681"
"Lexmark International Inc","Lexmark International Inc","ACCT0008700","165,984","165,984","1,440,000","1,440,000","03913MS","","App Engine - Fulfiller   (USD)","800","17.29","App Engine Fulfiller","Now Platform App Engine","CLI0137350"
"Leumi Bank Ltd","Leumi Bank Ltd","ACCT0025058","126,000","126,000","0","0","BV-03715LA","","Now Platform® App Engine for IT Service Management - Module (USD)","1","10,500","App Engine ITSM","Now Platform App Engine","CLI0208895"
"Les Schwab Tire Centers Inc","Les Schwab Tire Centers Inc","ACCT0004906","50,400","50,400","72,000","72,000","22012BM","","App Engine - Fulfiller   (USD)","40","105","App Engine Fulfiller","Now Platform App Engine","CLI0206446"
"Leroy Merlin Brasil","Leroy Merlin Brasil","ACCT0024616","164,221.2","33,187.05","256,905","49,500","CON0548261","","Now Platform App Engine Standard - Platform User (BRL)","165","82.94","App Engine Standard","App Engine - Legacy","CLI0112363"
"LEO Pharma AS","LEO Pharma AS","ACCT0021957","28,050","33,163.52","88,110","99,000","CON0092444","","App Engine - Fulfiller   (EUR)","55","42.5","App Engine Fulfiller","Now Platform App Engine","CLI0153581"
"Lennox Intl Inc","Lennox Intl Inc","ACCT0005260","1,260","1,260","1,260","1,260","20709MD","","Now Platform App Engine Starter - Platform User (USD)","15","7","App Engine Starter","App Engine - Legacy","CLI0112041"
"Leidos Holdings Inc - US Army","Leidos Holdings Inc - US Army","ACCT0086409","13,853.28","13,853.28","0","0","CON0558638-ARMY","","Now Platform® App Engine for IT Service Management - Module (USD)","1","1,154.44","App Engine ITSM","Now Platform App Engine","CLI0163697"
"Leidos Holdings Inc - Federal Trade Commission","Leidos Holdings Inc - Federal Trade Commission","ACCT0093506","19,890","19,890","21,000","21,000","CON0558638-FTC","","Now Platform App Engine Starter - Platform User (USD)","250","6.63","App Engine Starter","App Engine - Legacy","CLI0173381"
"Leidos Holdings Inc - Federal Trade Commission","Leidos Holdings Inc - Federal Trade Commission","ACCT0093506","8,528.4","8,528.4","9,000","9,000","CON0558638-FTC","","Now Platform App Engine Standard - Platform User (USD)","30","23.69","App Engine Standard","App Engine - Legacy","CLI0173373"
"Leidos Holdings Inc - Federal Trade Commission","Leidos Holdings Inc - Federal Trade Commission","ACCT0093506","22,744.32","22,744.32","0","0","CON0558638-FTC","","Now Platform® App Engine for Customer Service Management - Module (USD)","1","1,895.36","App Engine CSM","Now Platform App Engine","CLI0173378"
"Leidos Australia","Leidos Australia","ACCT0089095","6,864","5,092.66","0","0","BV-22414BCABACUSITSM","","Now Platform® App Engine for IT Service Management - Module (AUD)","1","572","App Engine ITSM","Now Platform App Engine","CLI0207288"
"Leidos Australia","Leidos Australia","ACCT0089095","20,235.6","15,013.55","23,400","18,000","BV-22414BC-ABACUS","","App Engine - Fulfiller   (AUD)","10","168.63","App Engine Fulfiller","Now Platform App Engine","CLI0170688"
"Legacy Community Health Services Inc","Legacy Community Health Services Inc","ACCT0143122","9,504","9,504","9,504","9,504","CON1161882","","I2 Now Platform® App Engine - Fulfiller User (USD)","20","39.6","App Engine Professional","App Engine","CLI0201477"
"Legacy Community Health Services Inc","Legacy Community Health Services Inc","ACCT0143122","0","0","0","0","CON1161882","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","10","0","App Engine Professional","App Engine","CLI0201476"
"Ledcor Industries Inc","Ledcor Industries Inc","ACCT0003718","24,276","19,555.44","33,405","25,500","CON0083465","","Now Platform App Engine Standard - Platform User (CAD)","85","23.8","App Engine Standard","App Engine - Legacy","CLI0098211"
"Learning Care Group Inc","Learning Care Group Inc","ACCT0017353","25,200","25,200","25,200","25,200","21813BK","","App Engine - Fulfiller   (USD)","14","150","App Engine Fulfiller","Now Platform App Engine","CLI0212552"
"Lazard Frères & Co. LLC","Lazard Frères & Co. LLC","ACCT0012076","52,200","52,200","0","0","CON0582278","","Now Platform® App Engine for IT Service Management - Module (USD)","1","4,350","App Engine ITSM","Now Platform App Engine","CLI0144836"
"Latham & Watkins LP","Latham & Watkins LP","ACCT0000058","563,760","563,760","1,392,000","1,392,000","21306DG","","App Engine - Unrestricted User (USD)","5,800","8.1","App Engine Unrestricted User","Now Platform App Engine","CLI0189014"
"Larsen & Toubro Ltd","Larsen & Toubro Ltd","ACCT0031560","18,000","18,000","45,000","45,000","BV-11114SR-INT","","Now Platform App Engine Standard - Platform User (USD)","150","10","App Engine Standard","App Engine - Legacy","CLI0096327"
"Land O'Lakes Inc","Land O'Lakes Inc","ACCT0001507","59,400","59,400","297,000","297,000","25611KA","","App Engine - Fulfiller   (USD)","165","30","App Engine Fulfiller","Now Platform App Engine","CLI0194358"
"Land O'Lakes Inc","Land O'Lakes Inc","ACCT0001507","33,300.12","33,300.12","0","0","25611KA","","Now Platform® App Engine for IT Service Management - Module (USD)","1","2,775.01","App Engine ITSM","Now Platform App Engine","CLI0194359"
"laFeltrinelli SRL","laFeltrinelli SRL","ACCT0102302","14,418","17,646.19","16,020","18,000","CON0665404","","App Engine - Fulfiller   (EUR)","10","120.15","App Engine Fulfiller","Now Platform App Engine","CLI0174526"
"La Trobe University","La Trobe University","ACCT0023958","44,422.2","33,042.44","301,298.4","231,768","BV-14214IM","","Now Platform App Engine Starter + - Unrestricted User (AUD)","3,219","1.15","App Engine Starter","App Engine - Legacy","CLI0111250"
"La Poste DISIT","La Poste DISIT","ACCT0020708","57,600","68,100.48","480,600","540,000","BV-19114VD1190000464","","App Engine - Fulfiller   (EUR)","300","16","App Engine Fulfiller","Now Platform App Engine","CLI0148464"
"KU Medical Center","KU Medical Center","ACCT0014187","0","0","27,000","27,000","25510ST-UKMC","","App Engine - Fulfiller   (USD)","15","0","App Engine Fulfiller","Now Platform App Engine","CLI0158688"
"KTM AG","KTM AG","ACCT0011251","14,044.8","16,727.36","0","0","BV-26814SOFT","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","1,170.4","App Engine ITSM","Now Platform App Engine","CLI0210904"
"Kronos Inc","Kronos Inc","ACCT0001006","51,000","51,000","306,000","306,000","07011SW-PROD","","App Engine - Fulfiller   (USD)","170","25","App Engine Fulfiller","Now Platform App Engine","CLI0176912"
"KPT","KPT","ACCT0021135","16,992","18,537.58","23,328","24,000","CON0976215","","Now Platform App Engine Starter - Unrestricted User (CHF)","800","1.77","App Engine Starter","App Engine - Legacy","CLI0098577"
"KPN BV","KPN BV","ACCT0004976","263,364","311,585.95","0","0","CON1303472 ","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","21,947","App Engine ITSM","Now Platform App Engine","CLI0171229"
"KPMG Sweden","KPMG Sweden","ACCT0069705","462","462","1,920","1,920","08414CE-KPMG-Sweden","","Now Platform App Engine Starter + - Platform User (USD)","10","3.85","App Engine Starter","App Engine - Legacy","CLI0130927"
"KPMG Norway","KPMG Norway","ACCT0089290","31,860","31,860","54,000","54,000","CON0656341","","Now Platform App Engine Starter - Unrestricted User (USD)","1,500","1.77","App Engine Starter","App Engine - Legacy","CLI0120454"
"KPMG Ireland (Customer)","KPMG Ireland (Customer)","ACCT0033607","41,454","50,519.99","75,294","84,600","BV-08414CE-KPMG-IE","","App Engine - Fulfiller   (EUR)","47","73.5","App Engine Fulfiller","Now Platform App Engine","CLI0204453"
"KPMG France (Customer)","KPMG France (Customer)","ACCT0039882","1,339.8","1,339.8","2,436","2,436","BV-08414CE-KPFR","","Now Platform App Engine Starter - Platform User (USD)","29","3.85","App Engine Starter","App Engine - Legacy","CLI0141300"
"KPMG Canada","KPMG Canada","ACCT0037348","16,500","16,500","30,000","30,000","CON5004036","","Now Platform App Engine Standard - Platform User (USD)","100","13.75","App Engine Standard","App Engine - Legacy","CLI0149215"
"KPMG Canada","KPMG Canada","ACCT0037348","42,240","42,240","76,800","76,800","08414CE-CAND","","Now Platform App Engine Standard - Platform User (USD)","256","13.75","App Engine Standard","App Engine - Legacy","CLI0158804"
"KPMG Advisory (Hong Kong) Limited","KPMG Advisory (Hong Kong) Limited","ACCT0092766","1,624.8","1,624.8","9,000","9,000","08414CE-HK","","App Engine - Fulfiller   (USD)","5","27.08","App Engine Fulfiller","Now Platform App Engine","CLI0163124"
"Koelliker SpA","Koelliker SpA","ACCT0087694","1,528.8","1,807.5","0","0","CON0585246","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","127.4","App Engine ITSM","Now Platform App Engine","CLI0132599"
"Koch Industries Inc","Koch Industries Inc","ACCT0004936","112,500","112,500","135,000","135,000","28114ES","","App Engine - Fulfiller   (USD)","75","125","App Engine Fulfiller","Now Platform App Engine","CLI0204286"
"Knowledge Partners Ltd OOD","Knowledge Partners Ltd OOD","ACCT0149197","7,417.68","8,317.44","10,594.56","11,904","CON1234473","","Now Platform App Engine Starter + - Platform User (EUR)","62","9.97","App Engine Starter","App Engine - Legacy","CLI0144277"
"Kiwibank Ltd","Kiwibank Ltd","ACCT0067261","0","0","0","0","CON0609580","","Now Platform App Engine Professional - Unrestricted User (NZD)","0","0","App Engine Professional","App Engine - Legacy","CLI0106551"
"Kiwibank Ltd","Kiwibank Ltd","ACCT0067261","316,800","221,416.92","881,280","576,000","CON0609580","","App Engine - Unrestricted User (NZD)","2,400","11","App Engine Unrestricted User","Now Platform App Engine","CLI0192798"
"Kinross Gold Corp","Kinross Gold Corp","ACCT0002750","162,600","162,600","1,200,000","1,200,000","32611BH","","App Engine - Unrestricted User (USD)","5,000","2.71","App Engine Unrestricted User","Now Platform App Engine","CLI0177626"
"Kinross Gold Corp","Kinross Gold Corp","ACCT0002750","0","0","0","0","32611BH","","Now Platform App Engine Starter - Unrestricted User (USD)","0","0","App Engine Starter","App Engine - Legacy","CLI0131801"
"Kinetic IT – Customer","Kinetic IT – Customer","ACCT0027507","138,225.6","98,171.4","762,120","522,000","BV-24014GC","","App Engine - Fulfiller   (AUD)","290","39.72","App Engine Fulfiller","Now Platform App Engine","CLI0162617"
"Kiewit Corp","Kiewit Corp","ACCT0001215","73,830","73,830","75,000","75,000","23213CH-ADDL","","Now Platform App Engine Standard - Platform User (USD)","250","24.61","App Engine Standard","App Engine - Legacy","CLI0106471"
"Khan Bank Corp","Khan Bank Corp","ACCT0064676","4,528.8","4,528.8","18,000","18,000","CON0074247","","App Engine - Fulfiller   (USD)","10","37.74","App Engine Fulfiller","Now Platform App Engine","CLI0181724"
"KH Neochem Co., Ltd.","KH Neochem Co., Ltd.","ACCT0119201","14,718,600","135,940.13","24,480,000","204,000","CON0790476","","App Engine - Unrestricted User (JPY)","850","1,443","App Engine Unrestricted User","Now Platform App Engine","CLI0197817"
"Kesko Oyj","Kesko Oyj","ACCT0005990","0","0","0","0","BV-13512SGT-6MTHS","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","0","App Engine ITSM","Now Platform App Engine","CLI0211274"
"Kesko Oyj","Kesko Oyj","ACCT0005990","144,007.2","172,376.62","945,180","1,062,000","BV-13512SGT","","App Engine - Fulfiller   (EUR)","590","20.34","App Engine Fulfiller","Now Platform App Engine","CLI0177857"
"Kesko Oyj","Kesko Oyj","ACCT0005990","0","0","0","0","BV-13512SGT","","Now Platform® App Engine for IT Service Management - Module (EUR)","1","0","App Engine ITSM","Now Platform App Engine","CLI0196281"
"Keshet Broadcasting Ltd","Keshet Broadcasting Ltd","ACCT0087749","33,840","33,840","169,200","169,200","CON0583919","","App Engine - Fulfiller   (USD)","94","30","App Engine Fulfiller","Now Platform App Engine","CLI0185366"
"Kerv Group Ltd","Kerv Group Ltd","ACCT0153041","5,380.8","7,317.2","0","0","CON5007456","","Now Platform® App Engine for Customer Service Management - Module (GBP)","1","448.4","App Engine CSM","Now Platform App Engine","CLI0177019"
"Keolis - MA DOT","Keolis - MA DOT","ACCT0027600","17,934.48","17,934.48","102,600","102,600","15514KM","","App Engine - Fulfiller   (USD)","57","26.22","App Engine Fulfiller","Now Platform App Engine","CLI0143195"
"Kelvion Holding GmbH","Kelvion Holding GmbH","ACCT0099442","73,104","80,662.95","106,800","120,000","CON0651899","","Now Platform App Engine Standard - Platform User (EUR)","400","15.23","App Engine Standard","App Engine - Legacy","CLI0133133"
"Kellogg Brown & Root LLC","Kellogg Brown & Root LLC","ACCT0002387","6,000","6,000","9,000","9,000","CON0090834","","App Engine - Fulfiller   (USD)","5","100","App Engine Fulfiller","Now Platform App Engine","CLI0137253"
"Kawasaki Heavy Industries Ltd","Kawasaki Heavy Industries Ltd","ACCT0031548","167,040,000","1,571,599.66","288,000,000","2,400,000","CON1221668","","App Engine - Unrestricted User (JPY)","10,000","1,392","App Engine Unrestricted User","Now Platform App Engine","CLI0142490"
"Katten Muchin Rosenman LLP","Katten Muchin Rosenman LLP","ACCT0018016","17,100","17,100","27,000","27,000","15514AB","","App Engine - Fulfiller   (USD)","15","95","App Engine Fulfiller","Now Platform App Engine","CLI0155786"
"Kansas State University","Kansas State University","ACCT0004707","12,579.84","12,579.84","0","0","CON0652472","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","1,048.32","App Engine Professional","App Engine","CLI0180729"
"Kansas City Southern","Kansas City Southern","ACCT0001348","18,000","18,000","18,000","18,000","14112MAR","","App Engine - Fulfiller   (USD)","10","150","App Engine Fulfiller","Now Platform App Engine","CLI0203052"
"Kansai Paint Co Ltd","Kansai Paint Co Ltd","ACCT0030147","2,116,800","19,315.32","3,024,000","25,200","CON1423132","","App Engine - Fulfiller   (JPY)","14","12,600","App Engine Fulfiller","Now Platform App Engine","CLI0205871"
"Kaneka Corporation","Kaneka Corporation","ACCT0030013","30,240,000","285,410.71","43,200,000","360,000","CON5013215","","App Engine - Fulfiller   (JPY)","200","12,600","App Engine Fulfiller","Now Platform App Engine","CLI0184475"
"Jungfraubahnen Management AG","Jungfraubahnen Management AG","ACCT0093329","20,160","22,465.22","17,740.8","20,160","CON0616953","","Now Platform App Engine Starter + - Platform User (CHF)","105","16","App Engine Starter","App Engine - Legacy","CLI0184096"
"JT International SA","JT International SA","ACCT0004902","0","0","1,980,000","1,980,000","BV-02213VC","","Now Platform App Engine Professional - Platform User (USD)","1,650","0","App Engine Professional","App Engine - Legacy","CLI0117069"
"JT International SA","JT International SA","ACCT0004902","0","0","1,080,000","1,080,000","BV-02213VC-Asia","","Now Platform App Engine Professional - Platform User (USD)","900","0","App Engine Professional","App Engine - Legacy","CLI0168499"
"Johnson Controls Intl","Johnson Controls Intl","ACCT0001501","78,000","78,000","180,000","180,000","19510RH","","App Engine - Fulfiller   (USD)","100","65","App Engine Fulfiller","Now Platform App Engine","CLI0172155"
"Johnson & Johnson","Johnson & Johnson","ACCT0000055","4,680","4,680","180,000","180,000","35109BS-Financial","","Now Platform App Engine Professional - Unrestricted User (USD)","1,000","0.39","App Engine Professional","App Engine - Legacy","CLI0180658"
"Johnson & Johnson","Johnson & Johnson","ACCT0000055","0","0","29,880,000","29,880,000","35109BS","","Now Platform App Engine Professional - Unrestricted User (USD)","166,000","0","App Engine Professional","App Engine - Legacy","CLI0121023"
"Johns Hopkins University Procurement","Johns Hopkins University Procurement","ACCT0127264","4,043.52","4,043.52","0","0","CON0952907","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","336.96","App Engine Professional","App Engine","CLI0203281"
"Johns Hopkins University Applied Physics Laboratory","Johns Hopkins University Applied Physics Laboratory","ACCT0010937","89,856","89,856","89,856","89,856","CON0952907-APL","","I2 Now Platform App Engine Professional - Platform User (USD)","300","24.96","App Engine Professional","App Engine - Legacy","CLI0120960"
"Johns Hopkins University Applied Physics Laboratory","Johns Hopkins University Applied Physics Laboratory","ACCT0010937","32,348.16","32,348.16","32,348.16","32,348.16","CON0952907-ADDL","","I2 Now Platform App Engine Professional - Platform User (USD)","108","24.96","App Engine Professional","App Engine - Legacy","CLI0157411"
"Johns Hopkins University Applied Physics Laboratory","Johns Hopkins University Applied Physics Laboratory","ACCT0010937","23,961.6","23,961.6","23,961.6","23,961.6","CON0952907APL-ONPREM","","I2 Now Platform App Engine Professional - Platform User (USD)","80","24.96","App Engine Professional","App Engine - Legacy","CLI0121382"
"Johns Hopkins University","Johns Hopkins University","ACCT0015705","35,942.4","35,942.4","35,942.4","35,942.4","CON0952907-JHU","","I2 Now Platform® App Engine - Fulfiller User (USD)","80","37.44","App Engine Professional","App Engine","CLI0166463"
"Johns Hopkins University","Johns Hopkins University","ACCT0015705","53,326.56","53,326.56","0","0","CON0952907-JHU","","I2 Now Platform® App Engine for IT Service Management - Module (USD)","1","4,443.88","App Engine Professional","App Engine","CLI0166464"
"Johns Hopkins University","Johns Hopkins University","ACCT0015705","0","0","0","0","CON0952907-JHU","","I2 Now Platform® App Engine - Included Student Fulfiller (USD)","40","0","App Engine Professional","App Engine","CLI0166460"
