Acct Number,Account,Cacv
ACCT0030934,Alicorp SAA,"121,200"
ACCT0127684,CGI Inc On behalf Of California Office Of System Integration,"121,161"
ACCT0172856,UConn Health Center,"121,101"
ACCT0145398,Stone Technologies Ltd,"121,076.56"
ACCT0129662,AAA National,"120,960"
ACCT0163347,Malibu Boats LLC,"120,921.60"
ACCT0032960,Banco Base SA Institucion De Banca Multiple,"120,850.55"
ACCT0214307,Kyndryl - NASCO,"120,840"
ACCT0065394,HGC Technologies Inc.,"120,821.40"
ACCT0159800,ElevateBio,"120,785.04"
ACCT0088508,Shared Services LLC,"120,644.52"
ACCT0164004,Loloi Rugs,"120,582"
ACCT0007287,Arbonne Intl LLC,"120,549"
ACCT0033565,European Stability Mechanism,"120,512.07"
ACCT0143063,Kongsberg Satellite Services AS,"120,510"
ACCT0004490,Fortress Investment Group LLC,"120,491.52"
ACCT0163428,NTT Data Intellilink (Hokkaido Discrete MSP),"120,479.08"
ACCT0018194,Noblis Inc.,"120,450"
ACCT0160529,Red River Technology LLC - Federal,"120,416.76"
ACCT0134021,Yamaha Music Japan Co Ltd,"120,412.91"
ACCT0123670,ThoughtSpot Inc,"120,351"
ACCT0031180,Savills Management Services Ltd,"120,288"
ACCT0155997,Hexaware Technologies Inc (MSP-EA),"120,278.12"
ACCT0136417,Unitec,"120,204"
ACCT0178468,PWCC Marketplace LLC,"120,108"
ACCT0155911,Techtronic Industries Australia Pty Ltd,"120,096.22"
ACCT0002624,Conmed Corp,"120,092.44"
ACCT0065454,Raiffeisen Bank Kosovo,"120,081.21"
ACCT0090902,2i Rete Gas SpA,"120,079.30"
ACCT0002520,Agnico-Eagle Mines Ltd,"120,075.25"
ACCT0182115,Audioptic Trade Services,"120,074.69"
ACCT0110544,ATEA - Miljo Og Fodevareministeriet,"120,053.87"
ACCT0214841,DXC - Macquarie Technology Group,"119,956.68"
ACCT0175065,Cisco Fedramp DES,"119,894.80"
ACCT0008178,FormFactor Inc,"119,890.08"
ACCT0123004,Royal Reesink BV,"119,830.94"
ACCT0098165,Cerema Portal,"119,692.47"
ACCT0161505,Lilium GmbH,"119,651.91"
ACCT0081481,Sysmex Corp,"119,555.43"
ACCT0140143,NTT Advanced Technology Corp,"119,514.11"
ACCT0131688,Interior Logic Group,"119,430"
ACCT0162089,SOMEI,"119,362.39"
ACCT0021273,Lake Macquarie City Council,"119,323.02"
ACCT0169314,Infosys - LRQA,"119,280"
ACCT0011240,Fronius International GmbH,"119,253.42"
ACCT0019266,Northrop Grumman Space & Mission Systems Corp,"119,251.44"
ACCT0143979,"SintecMedia, NYC, Inc. d/b/a Operative","119,212.50"
ACCT0170401,AUNDE Group SE,"119,196.03"
ACCT0207368,Infosys - Robinsons Bank,"119,157"
ACCT0096343,McArthurGlen UK Ltd,"119,133.59"
ACCT0110167,"Restaurant Growth Services, LLC","119,020.08"
ACCT0010967,Del Taco LLC,"118,965"
ACCT0027321,GLP PTE. Ltd,"118,939.68"
ACCT0070511,Maersk Supply Service AS,"118,800.24"
ACCT0104027,Aibel AS,"118,800"
ACCT0163967,Chick-fil-A Supply,"118,800"
ACCT0027537,School Employees Retirement System Of Ohio,"118,800"
ACCT0015506,Colorado Public Employee Retirement Association,"118,710"
ACCT0032996,Sistemas Avanzados De Tecnologia SA,"118,652.80"
ACCT0037238,Massachusetts Convention Center Authority (MCCA),"118,637.76"
ACCT0002072,"Performance Contracting Group, Inc.","118,572.10"
ACCT0109271,Greenyard NV,"118,557.42"
ACCT0018294,Transwestern,"118,500"
ACCT0164955,Augusta University,"118,497.60"
ACCT0141725,Cognizant - Football Association,"118,479.96"
ACCT0037478,Assimoco S.p.A.,"118,416.38"
ACCT0018199,American Residential Services LLC,"118,395"
ACCT0073156,Inmarsat Global Ltd,"118,224.20"
ACCT0177639,Accounting and Financial Reporting Council,"118,152"
ACCT0066637,Gift Of Hope Organ & Tissue Donor Network,"118,083.36"
ACCT0055568,Indiana Dept Of Transportation INDOT,"118,053.72"
ACCT0022706,The Council of the City of Sydney,"118,028.54"
ACCT0065280,Fujitsu (Portugal),"118,017.57"
ACCT0155777,Cube System Inc,"117,966.58"
ACCT0085090,Heroux-Devtek Inc,"117,853.39"
ACCT0074461,Danske Commodities AS,"117,835.34"
ACCT0134482,California Earthquake Authority,"117,798.96"
ACCT0027767,Hong Kong Aircraft Engineering Co Ltd,"117,718.68"
ACCT0176438,Accenture - Solvera Solutions,"117,694.68"
ACCT0087612,FIS India,"117,687"
ACCT0020649,Wright State University,"117,673.80"
ACCT0080536,European Court Of Auditors,"117,658.08"
ACCT0110620,Sofigate Oy - Liikennevirasto,"117,507.50"
ACCT0078049,Alliantgroup LP,"117,450"
ACCT0145885,Comparex Belgium BVBA - Skeyes,"117,370.75"
ACCT0126231,5Q Partners,"117,305.04"
ACCT0150742,Doane University,"117,276"
ACCT0086411,CompSource Mutual Insurance Co,"117,135.60"
ACCT0140791,Computer Sciences Corp BPS Services,"117,133.44"
ACCT0094801,Banco Santander Intl,"117,128"
ACCT0213176,State of Nevada EITS,"117,127.20"
ACCT0092561,Seidor  Solutions S.L.,"117,125.14"
ACCT0162483,Best Secret GmbH,"117,083.36"
ACCT0145300,Devo,"117,044.40"
ACCT0075916,MAG Aerospace,"117,040.98"
ACCT0056947,Phelps County Regional Medical Center,"117,000"
ACCT0010597,Sports Information Services Limited,"116,956.92"
ACCT0169273,Deloitte Consulting LLP - Pace Bus Service,"116,846.64"
ACCT0076649,Hutchison International Limited,"116,783.40"
ACCT0006442,NHS North Central London ICB,"116,764.68"
ACCT0169050,Admiral Intermediary Services SAU,"116,709.92"
ACCT0126262,Chartway Federal Credit Union,"116,700"
ACCT0133860,NEC XON Holdings Pty Ltd,"116,700"
ACCT0168144,AEW Capital Management LP,"116,688"
ACCT0020302,Learfield Communications Inc,"116,652"
ACCT0121563,Arterra Wines Canada Inc,"116,625.42"
ACCT0096895,East London NHS Foundation Trust,"116,597.72"
ACCT0028666,Los Angeles County Employees Retirement Association,"116,571.60"
ACCT0157620,Infosys - Britvic,"116,568"
ACCT0046349,First Financial Corp,"116,480.04"
ACCT0143259,General Electric Company - GE Healthcare,"116,460"
ACCT0212784,Hexaware Technologies UK Ltd - TTC Travel Group,"116,369.60"
ACCT0081812,Indaver NV,"116,312.47"
ACCT0158625,US Dept of State - MRA,"116,252.88"
ACCT0173091,avodaq AG,"116,235.96"
ACCT0080557,Sirti S.p.A.,"116,232.76"
ACCT0054050,Community Memorial Health System,"116,106"
ACCT0093540,Washington State Department Of Commerce,"116,035.44"
ACCT0107833,Harvard Law School,"115,994.04"
ACCT0020641,Ntrepid LLC,"115,956.40"
ACCT0122322,Midland States Bank,"115,942.56"
ACCT0074303,Nederlandse Loterij Organisatie B.V.,"115,920.29"
ACCT0069925,Infomil,"115,910.89"
ACCT0129762,NTT Communications Corp (MS MSP),"115,892.92"
ACCT0144785,County of Ventura - Human Services Agency,"115,839.96"
ACCT0158189,Shibuya Ward,"115,835.72"
ACCT0037850,Home Instead Inc,"115,752"
ACCT0154684,Groupe Nexio Select Inc. - Universite De Sherbrooke,"115,702.39"
ACCT0166293,Elea Digital,"115,648.38"
ACCT0145423,Deloitte Australia - Commonwealth Bank,"115,600"
ACCT0164715,NTT Communications Corp (SPF TicketPP),"115,544.24"
ACCT0062263,BURNCO Rock Products Ltd,"115,525.80"
ACCT0170591,Innflow AG,"115,503.41"
ACCT0197167,MICA Capital Inc.,"115,500"
ACCT0097786,Australian Institute Of Company Directors,"115,497.17"
ACCT0064335,metafinanz Informationssysteme GmbH,"115,464.81"
ACCT0153752,Netcompany UK Ltd,"115,425.67"
ACCT0064798,CAC Corporation,"115,355.20"
ACCT0178076,Axian Group,"115,334.40"
ACCT0156033,Enterprise Community,"115,164.60"
ACCT0172793,Intrepid Fiber Networks,"115,132.56"
ACCT0141828,Ministerstvo pro Mistni Rozvoj MMR,"115,128"
ACCT0082596,IQsec SA De CV,"115,116"
ACCT0027862,NTT Learning Systems Corp,"115,076.40"
ACCT0182109,ITS Logistics LLC,"115,066.92"
ACCT0025043,Far East Management Pte Ltd,"115,033.80"
ACCT0026923,Comercializadora Farmaceutica de Chiapas SAPI de C.V,"115,017.48"
ACCT0152135,HCL - Seriti,"114,958.80"
ACCT0046224,"TechTarget, Inc.","114,912"
ACCT0164080,DXC - WuXi AppTec,"114,798.24"
ACCT0037522,Universidad Iberoamericana AC,"114,747"
ACCT0143660,Works Human Intelligence Co Ltd,"114,744.26"
ACCT0001273,"Arch Resources, Inc.","114,715.20"
ACCT0038810,FARO Technologies Inc,"114,686.88"
ACCT0071835,Fay Servicing LLC,"114,679.20"
ACCT0031285,California Dept Of Veterans Affairs,"114,656.16"
ACCT0015133,Pharmascience Inc,"114,624.79"
ACCT0158418,Saitama Prefectural Government,"114,585.31"
ACCT0137842,METRO Italy Cash and Carry SpA,"114,464.10"
ACCT0006759,AG Insurance SA,"114,437.03"
ACCT0027779,Graymont Ltd,"114,339.39"
ACCT0199952,"ADMA Biologics, Inc","114,261.60"
ACCT0077547,AIROS,"114,240"
ACCT0165224,San-Ei Gen FFI Inc,"114,206.11"
ACCT0154479,Berge Logistics,"114,192.56"
ACCT0066101,Peabody,"114,155.66"
ACCT0084646,Viva Energy Australia Pty Ltd,"114,106.73"
ACCT0067978,Independent Television News Ltd ITN,"114,103.41"
ACCT0017217,European Centre For Disease Prevention And Control  ECDC,"114,098.98"
ACCT0029423,Titan Co Ltd,"114,093.60"
ACCT0112217,Volvo Car Retail Solutions AB,"114,076.66"
ACCT0133890,NorthRiver Midstream Inc,"114,074.28"
ACCT0091108,Convergence Group UK Ltd,"114,038.70"
ACCT0091813,Intact Technology Inc,"114,000"
ACCT0173489,Kinetik,"113,961.12"
ACCT0024355,Greater Orlando Aviation Authority,"113,874.96"
ACCT0032625,Stone Brewing Co,"113,700.00"
ACCT0155832,Yesway,"113,697.60"
ACCT0008395,Canadian Real Estate Association,"113,601.60"
ACCT0025767,University Of Toronto Mississauga,"113,575.59"
ACCT0214097,Persistent Systems - Simon & Schuster,"113,553"
ACCT0133276,Livelo SA,"113,548.44"
ACCT0152948,ISD FENIQS GmbH,"113,527.40"
ACCT0155448,SOS AERZTE Turicum AG,"113,459.42"
ACCT0194535,E80 Group SpA,"113,431.17"
ACCT0140805,West Coast University,"113,268.38"
ACCT0021445,Bolton NHS Foundation Trust,"113,260.73"
ACCT0156300,"Ecobat, LLC","113,250"
ACCT0136314,Toyota South Africa Motors Pty Ltd,"113,248.80"
ACCT0180075,Hitachi Astemo Americas Inc,"113,229"
ACCT0170158,SOCOTEC Gestion SAS,"113,213.11"
ACCT0013823,HKS Inc,"113,116.80"
ACCT0030669,The Whiting-Turner Contracting Company,"113,100"
ACCT0057057,Pregis Holding I Corp,"113,052"
ACCT0011030,NTT Americas,"112,981.68"
ACCT0192900,IXUP Operations Pty Ltd,"112,947.91"
ACCT0165668,Boat Race Promotion Association,"112,886.76"
ACCT0066402,Hitachi Systems Ltd,"112,848.12"
ACCT0135510,Rittmeyer AG,"112,829.92"
ACCT0140508,"Toinx Co., Ltd","112,819.75"
ACCT0049311,Holmesglen Institute,"112,791.52"
ACCT0207774,Fujitsu Sweden - Tekniska Verken,"112,745.74"
ACCT0090407,Atos - Safran,"112,733.55"
ACCT0081166,The Treasury,"112,702.10"
ACCT0179734,OSD - Strategic Capabilities Office,"112,665.60"
ACCT0020554,Hancock Prospecting Pty Ltd,"112,618.76"
ACCT0171079,Defence Joint Operations Command,"112,608.72"
ACCT0059363,Premier League,"112,513.35"
ACCT0153916,ACH Colombia SA,"112,500"
ACCT0026846,NISSAN International SA,"112,413.78"
ACCT0017553,Sierra Nevada Brewing Co,"112,374"
ACCT0018873,Valeo Service,"112,338.32"
ACCT0010589,American Dairy Queen Corporation,"112,299"
ACCT0075531,Alutiiq LLC,"112,237.32"
ACCT0131838,Raízen Argentina S.A.,"112,200"
ACCT0024480,Singapore Exchange Limited,"112,100.04"
ACCT0104123,Buckinghamshire Healthcare Nhs Trust Charitable Fund,"112,079.87"
ACCT0133017,HCL - Elders Ltd,"112,059.60"
ACCT0060222,Rotork Plc,"111,844.34"
ACCT0176983,AeroSafe Global,"111,801.60"
ACCT0026269,Lineage Logistics,"111,785.76"
ACCT0032837,MTI Technology Ltd,"111,762.97"
ACCT0093772,Montgomery County Ohio,"111,740.64"
ACCT0161197,BellRing Brands Inc,"111,600"
ACCT0214413,3M Health Information System Inc,"111,596.83"
ACCT0154803,EMP Secure,"111,543"
ACCT0050553,London Borough Of Croydon,"111,425.83"
ACCT0097447,Daiichi Sankyo Brasil Farmaceutica Ltda,"111,353.24"
ACCT0177850,Saudi Entertainment Ventures,"111,316.25"
ACCT0021202,CarolinaEast Medical Center,"111,315.72"
ACCT0158929,Ciril GROUP,"111,295.60"
ACCT0133195,National Opinion Research Center - Federal,"111,294"
ACCT0067324,Ventia Pty Ltd,"111,269.03"
ACCT0001595,Electronics For Imaging Inc,"111,240"
ACCT0024319,Erasmus universitair Medisch Centrum Rotterdam,"111,078.78"
ACCT0006164,"Dine Brands Global, Inc.","111,000"
ACCT0035905,City Of Saint Paul,"110,983.20"
ACCT0017984,Mountaire Farms Inc,"110,951.40"
ACCT0195685,Aircare Health,"110,925"
ACCT0139810,The EMBL-European Bioinformatics Institute,"110,706.42"
ACCT0003693,Staffmark Group LLC,"110,701.80"
ACCT0016370,Institute Of Intl Education Inc,"110,676.96"
ACCT0061421,Communications & Power Industries LLC,"110,659.08"
ACCT0080601,Georgia Dept Of Corrections,"110,659.08"
ACCT0112954,Servicios Broxel SAPI De CV,"110,650.80"
ACCT0174964,Rhenus Logistics SA,"110,623.30"
ACCT0005429,Futura Services Inc,"110,437.20"
ACCT0166141,JGC Corporation,"110,329.99"
ACCT0074463,US Dept Of State Office Of The Secretariat,"110,284.68"
ACCT0212905,Nippon Express Holdings Co Ltd,"110,171.42"
ACCT0175157,UniKomm - King Abdulaziz Royal Reserve,"110,114.40"
ACCT0022531,World Vision Australia,"110,097.25"
ACCT0082670,Tactile Medical,"109,991.40"
ACCT0014187,KU Medical Center,"109,983.60"
ACCT0044266,Central Arizona College,"109,955.04"
ACCT0014720,Greenheck Fan Corp,"109,925.04"
ACCT0016871,Bailiwick Services LLC,"109,914"
ACCT0154093,NIandC NETSYSTEM Inc,"109,837.92"
ACCT0163507,Teletex Computadores e Sistemas Ltda,"109,741.89"
ACCT0180567,Fujitsu BE - BELSPO,"109,728.25"
ACCT0112394,Kuntarahoitus Oyj,"109,727.44"
ACCT0158743,Ministry of the Environment,"109,721.09"
ACCT0097949,Data Communications Management Corp,"109,648.56"
ACCT0082718,Intelex Technologies Inc,"109,645.06"
ACCT0176624,Beisia Group Solutions,"109,623.78"
ACCT0040294,Persistent Systems Limited,"109,455"
ACCT0022234,Tnuva Ltd,"109,440"
ACCT0022663,Veracode Inc,"109,386"
ACCT0149308,Office of the Ohio Secretary of State,"109,247.04"
ACCT0010297,National Bank Holdings (formerly Bank Midwest),"109,200"
ACCT0001572,"UFP Industries, Inc.","109,200"
ACCT0096615,Emirates Post Group,"109,125"
ACCT0125852,Toyota Research Institute,"109,100.52"
ACCT0020382,Gold Corporation,"109,080.05"
ACCT0158867,Fujitsu France - Pepsi Bottling Ventures,"109,033.56"
ACCT0064525,Si Vale Mexico SA De CV,"109,026.82"
ACCT0119684,Security Reply Srl,"109,005.04"
ACCT0016561,Brenntag Latin America,"108,988.56"
ACCT0177609,Aurinia Pharmaceuticals Inc,"108,944.95"
ACCT0028420,Chicago Transit Authority,"108,936"
ACCT0052770,Advanced Disposal Waste Holdings Corp,"108,915"
ACCT0096962,EquiLend Holdings LLC,"108,915"
ACCT0176981,Cavu Group Ltd,"108,894.78"
ACCT0000020,Business Connexion Pty Ltd,"108,834"
ACCT0005277,Cleveland State University,"108,820.44"
ACCT0008246,Euralis,"108,810.70"
ACCT0006677,UC Health LLC,"108,782.88"
ACCT0029522,Kokuyo Co Ltd,"108,745.19"
ACCT0171104,Advania Sverige 35 AB,"108,738.99"
ACCT0057016,Pollard Banknote Ltd,"108,709.21"
ACCT0022299,University Of Lethbridge,"108,684.00"
ACCT0026043,Central Washington Health Services Association,"108,644.40"
ACCT0092865,Leroy Merlin Espana SLU,"108,638.27"
ACCT0008977,McKinstry Co LLC,"108,611.40"
ACCT0010015,Lamar University,"108,535.20"
ACCT0071145,MPY Yrityspalvelut Oyj,"108,466.03"
ACCT0164767,Childrens Health Ireland,"108,427.56"
ACCT0129250,MAN Truck & Bus AG - PEP,"108,409.67"
ACCT0168993,Prophix Software Inc,"108,370.91"
ACCT0023426,Telia Norway,"108,278.48"
ACCT0128053,Strategic Link,"108,268.56"
ACCT0131890,WorkplaceNL,"108,212.30"
ACCT0071400,Bank Of Utah,"108,159.60"
ACCT0047235,ProKarma Inc,"108,124.20"
ACCT0193402,MAINGAU Energie GmbH,"108,090.95"
ACCT0001316,ERP Operating Limited Partnership,"108,088.98"
ACCT0010910,NTT Com Asia Hong Kong,"108,072"
ACCT0004191,Oxford Industries Inc,"108,000"
ACCT0176219,"Janus International Group, LLC","107,951.58"
ACCT0161885,Nayax Ltd,"107,937"
ACCT0093329,Jungfraubahnen Management AG,"107,857.83"
ACCT0086084,Aricoma Systems a.s.,"107,855.09"
ACCT0111590,Ebanx LTDA,"107,845.78"
ACCT0010361,Old Dominion University,"107,839.80"
ACCT0067876,Hitachi High-Tech Corp,"107,824.15"
ACCT0083002,Iora Health Inc,"107,796.18"
ACCT0091905,State Of Idaho Supreme Court,"107,714.40"
ACCT0015555,National Board Of Medical Examiners,"107,700"
ACCT0060788,Siemens Gamesa Renewable Energy Service GmbH,"107,689.31"
ACCT0090417,Hitachi Social Information Services Ltd,"107,667.56"
ACCT0147041,SailPoint Technologies Inc Federal,"107,658"
ACCT0109613,Leap In! Australia Ltd,"107,627.58"
ACCT0173923,Alper Consultoria E Corretora De Seguros SA,"107,597.65"
ACCT0068867,PNNL-ARM (Atmospheric Radiation Measurement),"107,570.40"
ACCT0180454,USAF - PEO Digital,"107,491.68"
ACCT0154524,Amdocs Development Limited,"107,472.48"
ACCT0144627,Vantage Data Centers United Kingdom (Opco) Limited,"107,457.60"
ACCT0093298,Nuvolo - Siemens Healthineers,"107,452.01"
ACCT0174237,Eviden Germany GmbH - DAK - Gesundheit,"107,427.07"
ACCT0130494,Trilogy Health Services LLC,"107,412"
ACCT0154853,Iagona,"107,353.81"
ACCT0159555,Sofigate Oy – Tilastokeskus,"107,343.90"
ACCT0078067,TKP Pensioen BV,"107,325.90"
ACCT0170559,Medi GmbH & Co KG,"107,266.47"
ACCT0175106,Atos US - Indorama (Temp Mig Instance),"107,251.20"
ACCT0165978,Integrity360,"107,248.70"
ACCT0165256,Thales Digital Factory,"107,236.64"
ACCT0129607,Aetna Intl Inc,"107,226"
ACCT0088707,Thales Solution Asia Pte Ltd,"107,218.01"
ACCT0098007,Windset Farms,"107,200.98"
ACCT0039869,United Arab Emirates University UAEU,"107,184"
ACCT0181628,Bonnier group AB,"107,176.83"
ACCT0010799,Safety Insurance Company,"107,160"
ACCT0211736,Australian Naval Infrastructure Pty Ltd,"107,146.73"
ACCT0027711,Bank Tabungan Pensiunan Nasional Syariah PT,"107,079"
ACCT0180667,California High Speed Rail Authority,"107,053.44"
ACCT0046560,Pyramid Healthcare Inc,"107,022"
ACCT0023276,Commodity Futures Trading Commission CFTC,"106,955.09"
ACCT0056519,National DCP LLC,"106,927.38"
ACCT0008621,Orange County Sanitation District,"106,855.80"
ACCT0045442,United Federation of Teachers Welfare Fund,"106,830"
ACCT0004285,84 Lumber Co,"106,802.40"
ACCT0165632,Leroy Seafood Group ASA,"106,785"
ACCT0092762,BFBS,"106,753.87"
ACCT0040608,Flipkart Internet Pvt Ltd India,"106,746"
ACCT0051645,University Hospitals Coventry And Warwickshire NHS Trust,"106,691.85"
ACCT0131760,Alter Domus,"106,690.32"
ACCT0098170,Thomas Jefferson National Accelerator Facility,"106,572.84"
ACCT0088242,Lightsource Holdings 2 Limited,"106,510.38"
ACCT0110084,Aurora Cannabis Enterprises Inc.,"106,500"
ACCT0160684,Innovior Pty Ltd,"106,496.83"
ACCT0154619,Eviden - SIG Plc,"106,479.92"
ACCT0114718,Budimex SA,"106,470"
ACCT0164889,BEWI Group,"106,382.21"
ACCT0000864,Energy Sciences Network,"106,365.12"
ACCT0153523,EYCT (Cyber),"106,320"
ACCT0125433,Unico Data AG,"106,223.57"
ACCT0170926,V-Soft Consulting Group Inc - Tegria RCM Group US,"106,200"
ACCT0161297,ViasChile,"106,176"
ACCT0130947,WalkMe Ltd,"106,140"
ACCT0095317,SmartIT Services AG,"106,091.60"
ACCT0133893,CareDX Inc,"106,086"
ACCT0145428,North Oil Co,"106,050.03"
ACCT0010153,University Of Rhode Island,"105,983.28"
ACCT0017306,Prime Inc.,"105,909.96"
ACCT0008355,Lattice Semiconductor Corp,"105,840"
ACCT0032552,Apotek 1 Gruppen AS,"105,838.71"
ACCT0165781,Trust Systems Ltd,"105,815.25"
ACCT0146994,Bridgewater Bank,"105,814.20"
ACCT0139758,Integrated Security & Communications,"105,751.98"
ACCT0054305,County Of Olmsted,"105,581.76"
ACCT0004558,"NBTY Global, Inc.","105,534.60"
ACCT0111654,ARLANXEO Deutschland GmbH,"105,506.54"
ACCT0094938,Schneider Electric LLC for power engineering Novi Sad,"105,445.76"
ACCT0026110,Japan Post Co Ltd,"105,341.76"
ACCT0143613,Maryland Department of Health,"105,334.44"
ACCT0108454,Datavalet,"105,300"
ACCT0030795,Metal Manufactures Ltd,"105,299.94"
ACCT0206662,Persistent Systems Inc - AccurisCo,"105,246.72"
ACCT0099670,Comcast - Legal Response Center LRC,"105,225.60"
ACCT0053115,Badger Daylighting Inc,"105,199.42"
ACCT0162108,Tanana Chiefs Conference,"105,120"
ACCT0134484,BDO AG,"105,103.35"
ACCT0071095,Sony Global Solutions Inc,"105,100.08"
ACCT0005533,TGI Friday's Inc,"105,062.40"
ACCT0156991,State of Nevada Department of Health and Human Services,"105,023.76"
ACCT0144754,Cyxtera FedRamp,"105,007.56"
ACCT0026012,Tamko Building Products,"104,986.98"
ACCT0178124,Operational Services - L-Bank Landeskreditbank Baden-Wurttemberg Forderbank,"104,982.45"
ACCT0039827,Allen Institute,"104,980.08"
ACCT0056805,PA Dept Of Military & Veterans Affairs,"104,922.24"
ACCT0143463,Fujitsu Ltd (Digital Value Chain 2),"104,853.60"
ACCT0201045,Cognizant - Private Client Select Insurance,"104,799.96"
ACCT0094082,Pernod Ricard India Pvt Ltd,"104,700"
ACCT0009834,Touro College,"104,699.73"
ACCT0092195,PURE International (HK) Limited,"104,699.58"
ACCT0119285,Fujitsu BE - Belnet,"104,688.53"
ACCT0084480,Thales Australia Ltd,"104,663.34"
ACCT0016199,Five Star Bank,"104,588.04"
ACCT0172076,Konica Minolta Business Solutions Australia Pty Ltd,"104,535.55"
ACCT0003653,ARC Resources Ltd,"104,484.88"
ACCT0021699,Western Canada Lottery Corp,"104,479.94"
ACCT0177474,Tech Mahindra - Mowi ASA,"104,445.48"
ACCT0005032,Toshiba America Inc,"104,432.16"
ACCT0016796,XPS Pensions Group,"104,400.67"
ACCT0040295,T&D Information System Ltd,"104,356.80"
ACCT0020413,Allianz Australia Services Pty Ltd,"104,339.14"
ACCT0080169,Stofa AS,"104,270.84"
ACCT0006046,Alberta Electric Systems Operator,"104,226.91"
ACCT0141717,Ofsted,"104,209.47"
ACCT0165815,Fujitsu NZ - Meridian Energy Ltd,"104,132.68"
ACCT0196610,INDOPAC APCSS,"104,051.52"
ACCT0147734,TV Asahi Service Co Ltd,"104,040.86"
ACCT0159302,PIB Group Services Limited,"104,034.45"
ACCT0003258,Franklin Electric Co Inc,"103,911.96"
ACCT0092348,Prumo Global Logistics,"103,877.53"
ACCT0172407,BLANCPAIN SA,"103,862.11"
ACCT0177821,Hyperion Partners LLC,"103,835.09"
ACCT0120642,Alphatec Holdings,"103,832.76"
ACCT0179657,Accenture - Consip SpA,"103,824"
ACCT0037296,Carbon60,"103,803"
ACCT0158084,DXC - Regione Toscana,"103,800"
ACCT0003113,"Sunrise Senior Living Management, Inc.","103,800"
ACCT0144372,Engage ESM Ltd,"103,783.03"
ACCT0009097,FleetPride Inc,"103,680"
ACCT0093053,Community Health Group,"103,654.20"
ACCT0144607,KPMG Australia ASPAC QMS,"103,528.30"
ACCT0069894,SLK Software Private Limited,"103,500"
ACCT0163224,Avertium,"103,470"
ACCT0158244,Canadian Forces Morale and Welfare Services,"103,440.66"
ACCT0044246,Everwise Credit Union,"103,440"
ACCT0023751,West Chester University,"103,308.48"
ACCT0074948,Henner SAS,"103,299.55"
ACCT0102471,InfoCenter.io Corp,"103,200"
ACCT0125327,Factor5- Queensland University Of Technology QUT,"102,995.71"
ACCT0108932,ICON Water Ltd,"102,942.08"
ACCT0069408,"Goddard Systems, LLC","102,901.62"
ACCT0134263,Computer Sciences Corp – South Africa Airways,"102,863.88"
ACCT0157874,TAG Tecnologia para o Sistema Financeiro SA,"102,853.58"
ACCT0121254,Amynta Agency Inc.,"102,848.40"
ACCT0179923,Nasjonalt kommunesamarbeid for 110-sentralene IKS,"102,840"
ACCT0026003,Dah Chong Hong Holdings Ltd,"102,781.08"
ACCT0129562,Tractebel Engineering NV,"102,763.52"
ACCT0022009,Fujitsu - Fod Fedict,"102,759.28"
ACCT0170811,Capgemini Technologies Inc - APUC,"102,756"
ACCT0213551,B-FLEXION International Holding SA,"102,632.08"
ACCT0166356,Coforge - Costa Coffee,"102,624"
ACCT0103705,Getriebebau NORD GmbH & Co. KG,"102,617.57"
ACCT0066234,Ministry Of Justice NZ,"102,604.49"
ACCT0135071,Computer Sciences Corp -  Myanmar,"102,564"
ACCT0171122,Agroindustrias Unidas de Mexico SA de CV,"102,540.60"
ACCT0159202,Sofigate Oy – Aluehallintovirasto,"102,499.37"
ACCT0203526,HDFC Securities Ltd,"102,424.98"
ACCT0067289,Mesa Associates Inc,"102,360.30"
ACCT0005726,California State University Fullerton,"102,337.68"
ACCT0092549,Quintica SA Pty Ltd-Internet Solutions,"102,311.16"
ACCT0005613,TecBan SA,"102,270.23"
ACCT0138219,Vigatec,"102,269.40"
ACCT0172670,Castlelake L.P.,"102,187.15"
ACCT0143920,Nextgen Distribution Pty Ltd,"102,143.17"
ACCT0157697,UAW Retiree Medical Benefits Trust,"102,076.20"
ACCT0055030,Garland Independent School District,"102,000"
ACCT0001847,Schuff Intl Inc,"102,000"
ACCT0017948,McMaster-Carr Supply Company,"101,998.98"
ACCT0002177,Camden Property Trust,"101,970"
ACCT0123293,HDFC Life Insurance Co Ltd,"101,936.52"
ACCT0216492,NTT Advanced Technology Corp (HR),"101,930.40"
ACCT0104114,Botkyrka Kommun,"101,898.71"
ACCT0108804,Accenture MSP (Ecosystems),"101,880"
ACCT0216376,Orange Cyberdefense Sweden AB,"101,805.66"
ACCT0097636,Universidad Camilo Jose Cela,"101,798.50"
ACCT0043638,County Of Elkhart,"101,638.56"
ACCT0033398,Catholic Schools Broken Bay,"101,614.26"
ACCT0140692,Din Bil Sverige AB,"101,609.94"
ACCT0002143,Range Resources Corporation,"101,550"
ACCT0143529,Tampereen Sahkolaitos Oy,"101,527.39"
ACCT0026158,Lutech SpA,"101,495.56"
ACCT0026489,INRY,"101,475"
ACCT0031528,Honda Motor Co Ltd,"101,441.01"
ACCT0033200,SCSK Corp,"101,397.99"
ACCT0067211,Warba Bank,"101,355"
ACCT0173851,Deloitte Consulting - India,"101,277"
ACCT0144692,European Economic and Social Committee,"101,273.27"
ACCT0164461,Linium - Cognizant Technology Solutions US Corporation,"101,250"
ACCT0018101,ThoughtWorks Inc,"101,250"
